feature_index,SPI-1,SPI-2,ks_statistic,n_GaussianNoise,n_CML
225,bary-sq_euclidean_max,cds,0.4971098837384401,64,64
226,bary-sq_euclidean_max,ce_gaussian,0.4546060379260506,64,64
227,bary-sq_euclidean_max,ce_kernel_W-0.5,0.8376466529714885,64,64
228,bary-sq_euclidean_max,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.31486345090709666,64,64
229,bary-sq_euclidean_max,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.24223636426432593,64,64
230,bary-sq_euclidean_max,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.3275464203494189,64,64
231,bary-sq_euclidean_max,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.2745167292214824,64,64
232,bary-sq_euclidean_max,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.22686759500351633,64,64
233,bary-sq_euclidean_max,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.2502531525953093,64,64
234,bary-sq_euclidean_max,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.36744151053892493,64,64
235,bary-sq_euclidean_max,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.3199145678525239,64,64
236,bary-sq_euclidean_max,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.360366067222584,64,64
237,bary-sq_euclidean_max,coint_johansen_max_eig_stat_order-0_ardiff-1,0.8702434788426849,64,64
238,bary-sq_euclidean_max,coint_johansen_max_eig_stat_order-0_ardiff-10,0.34198480618136046,64,64
239,bary-sq_euclidean_max,coint_johansen_max_eig_stat_order-1_ardiff-1,0.875136299550232,64,64
240,bary-sq_euclidean_max,coint_johansen_max_eig_stat_order-1_ardiff-10,0.25369313526397697,64,64
241,bary-sq_euclidean_max,coint_johansen_trace_stat_order-0_ardiff-1,0.9142323783273351,64,64
242,bary-sq_euclidean_max,coint_johansen_trace_stat_order-0_ardiff-10,0.5035724423892343,64,64
243,bary-sq_euclidean_max,coint_johansen_trace_stat_order-1_ardiff-1,0.9496803034595774,64,64
244,bary-sq_euclidean_max,coint_johansen_trace_stat_order-1_ardiff-10,0.36057067865194714,64,64
245,bary-sq_euclidean_max,cov-sq_EmpiricalCovariance,0.45460603792605037,64,64
246,bary-sq_euclidean_max,cov-sq_GraphicalLasso,0.47759438425979595,64,64
247,bary-sq_euclidean_max,cov-sq_LedoitWolf,0.7497337938127937,64,64
248,bary-sq_euclidean_max,cov-sq_OAS,0.7190771599926703,64,64
249,bary-sq_euclidean_max,cov-sq_ShrunkCovariance,0.45460603792605037,64,64
250,bary-sq_euclidean_max,cov_EmpiricalCovariance,0.2886430096054582,64,64
251,bary-sq_euclidean_max,cov_GraphicalLasso,0.2869870360507606,64,64
252,bary-sq_euclidean_max,cov_GraphicalLassoCV,0.25393770585073133,64,64
253,bary-sq_euclidean_max,cov_LedoitWolf,0.3603487475758806,64,64
254,bary-sq_euclidean_max,cov_OAS,0.3532289852822851,64,64
255,bary-sq_euclidean_max,cov_ShrunkCovariance,0.2886430096054582,64,64
256,bary-sq_euclidean_max,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.36968820817442405,64,64
257,bary-sq_euclidean_max,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.16980165506565098,64,64
258,bary-sq_euclidean_max,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.38281420007755906,64,64
259,bary-sq_euclidean_max,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.19783299750757213,64,64
260,bary-sq_euclidean_max,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.0988787186521648,64,64
261,bary-sq_euclidean_max,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.1904549634794499,64,64
262,bary-sq_euclidean_max,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.2541259834567131,64,64
263,bary-sq_euclidean_max,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.014533550808637385,64,64
264,bary-sq_euclidean_max,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.2706397156128608,64,64
265,bary-sq_euclidean_max,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.01777879670500146,64,64
266,bary-sq_euclidean_max,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.04143760395651147,64,64
267,bary-sq_euclidean_max,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.039456389018282634,64,64
268,bary-sq_euclidean_max,di_gaussian,0.5014199016741057,64,64
269,bary-sq_euclidean_max,di_kernel_W-0.5,0.35070709408025574,64,64
270,bary-sq_euclidean_max,di_kozachenko,0.49575148909985123,64,64
271,bary-sq_euclidean_max,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.07810866128347282,64,64
272,bary-sq_euclidean_max,dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.09325491332376015,64,64
