feature_index,SPI-1,SPI-2,ks_statistic,n_GaussianNoise,n_CauchyNoise
235,cov_GraphicalLasso,phase_multitaper_max_fs-1_fmin-0_fmax-0-25,0.0609859675993174,96,96
236,cov_GraphicalLasso,phase_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.04800357081813067,96,96
237,cov_GraphicalLasso,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.06843809512182114,96,96
238,cov_GraphicalLasso,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.08473426436739587,96,96
239,cov_GraphicalLasso,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.07921527794321509,96,96
240,cov_GraphicalLasso,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.08504259172897277,96,96
241,cov_GraphicalLasso,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.08890859373035101,96,96
242,cov_GraphicalLasso,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.054097796736436776,96,96
243,cov_GraphicalLasso,psi_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.10416666666666667,96,96
244,cov_GraphicalLasso,psi_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.10416666666666667,96,96
245,cov_GraphicalLasso,psi_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.125,96,96
246,cov_GraphicalLassoCV,cov_LedoitWolf,0.38197774858781613,96,96
247,cov_GraphicalLassoCV,cov_MinCovDet,0.18709613260120372,96,96
248,cov_GraphicalLassoCV,cov_OAS,0.20258655330832415,96,96
249,cov_GraphicalLassoCV,cov_ShrunkCovariance,0.03932621182191576,96,96
250,cov_GraphicalLassoCV,cov-sq_EmpiricalCovariance,0.09383638463173727,96,96
251,cov_GraphicalLassoCV,cov-sq_EllipticEnvelope,0.05026008051903616,96,96
252,cov_GraphicalLassoCV,cov-sq_GraphicalLasso,0.08408187579954263,96,96
253,cov_GraphicalLassoCV,cov-sq_GraphicalLassoCV,0.09649895464497615,96,96
254,cov_GraphicalLassoCV,cov-sq_LedoitWolf,0.06208983474994079,96,96
255,cov_GraphicalLassoCV,cov-sq_MinCovDet,0.058696769209375,96,96
256,cov_GraphicalLassoCV,cov-sq_OAS,0.21168127879943,96,96
257,cov_GraphicalLassoCV,cov-sq_ShrunkCovariance,0.09383638463173727,96,96
258,cov_GraphicalLassoCV,prec_EmpiricalCovariance,0.18319059301922055,96,96
259,cov_GraphicalLassoCV,prec_EllipticEnvelope,0.17895695043385265,96,96
260,cov_GraphicalLassoCV,prec_GraphicalLasso,0.19100694727308892,96,96
261,cov_GraphicalLassoCV,prec_GraphicalLassoCV,0.06702974537734568,96,96
262,cov_GraphicalLassoCV,prec_LedoitWolf,0.3926117483151102,96,96
263,cov_GraphicalLassoCV,prec_MinCovDet,0.1677846387331613,96,96
264,cov_GraphicalLassoCV,prec_OAS,0.06137564035198051,96,96
265,cov_GraphicalLassoCV,prec_ShrunkCovariance,0.11098688264935608,96,96
266,cov_GraphicalLassoCV,prec-sq_EmpiricalCovariance,0.028495404004184932,96,96
267,cov_GraphicalLassoCV,prec-sq_EllipticEnvelope,0.019497024624503867,96,96
268,cov_GraphicalLassoCV,prec-sq_GraphicalLasso,0.023689813957203265,96,96
269,cov_GraphicalLassoCV,prec-sq_GraphicalLassoCV,0.05842976803432767,96,96
270,cov_GraphicalLassoCV,prec-sq_LedoitWolf,0.45110945024840543,96,96
271,cov_GraphicalLassoCV,prec-sq_MinCovDet,0.021890890817126724,96,96
272,cov_GraphicalLassoCV,prec-sq_OAS,0.12327253185466636,96,96
273,cov_GraphicalLassoCV,prec-sq_ShrunkCovariance,0.06888483990840136,96,96
274,cov_GraphicalLassoCV,spearmanr-sq,0.03993672959201047,96,96
275,cov_GraphicalLassoCV,spearmanr,0.19282327274053013,96,96
276,cov_GraphicalLassoCV,kendalltau-sq,0.04131063162454751,96,96
277,cov_GraphicalLassoCV,kendalltau,0.18974205714585768,96,96
278,cov_GraphicalLassoCV,xcorr_max_sig-True,0.07848431086656141,96,96
279,cov_GraphicalLassoCV,xcorr-sq_max_sig-True,0.07491516582466062,96,96
280,cov_GraphicalLassoCV,xcorr_mean_sig-True,0.020474722187440952,96,96
281,cov_GraphicalLassoCV,xcorr-sq_mean_sig-True,0.11042744329044973,96,96
282,cov_GraphicalLassoCV,xcorr_mean_sig-False,0.06158503430427442,96,96
283,cov_GraphicalLassoCV,xcorr-sq_mean_sig-False,0.08545565735993776,96,96
284,cov_GraphicalLassoCV,pdist_euclidean,0.18933144470692045,96,96
285,cov_GraphicalLassoCV,pdist_cityblock,0.17425684648419393,96,96
286,cov_GraphicalLassoCV,pdist_cosine,0.12953417472832912,96,96
287,cov_GraphicalLassoCV,pdist_chebyshev,0.04951958288577596,96,96
288,cov_GraphicalLassoCV,pdist_canberra,0.17546913361753794,96,96
289,cov_GraphicalLassoCV,pdist_braycurtis,0.20181004858000287,96,96
290,cov_GraphicalLassoCV,di_gaussian,0.03914639038410969,96,96
291,cov_GraphicalLassoCV,di_kozachenko,0.11733329089019436,96,96
292,cov_GraphicalLassoCV,di_kernel_W-0.5,0.16092118040107595,96,96
293,cov_GraphicalLassoCV,mi_gaussian,0.01763190196433928,96,96
294,cov_GraphicalLassoCV,mi_kraskov_NN-4,0.10140533348557856,96,96
295,cov_GraphicalLassoCV,mi_kraskov_NN-4_DCE,0.09819548200712702,96,96
