feature_index,SPI-1,SPI-2,ks_statistic,n_CML,n_VAR(1)
148,cov_EmpiricalCovariance,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.5550720736248596,241,240
149,cov_EmpiricalCovariance,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.1940822841202613,241,240
150,cov_EmpiricalCovariance,pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.39575133797919126,241,240
151,cov_EmpiricalCovariance,pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.4616366576192517,241,240
152,cov_EmpiricalCovariance,pdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.24976629742068607,241,240
153,cov_EmpiricalCovariance,pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.4274419769481673,241,240
154,cov_EmpiricalCovariance,pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.4709021476208558,241,240
155,cov_EmpiricalCovariance,pdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.22727495709384,241,240
156,cov_EmpiricalCovariance,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.40921530178578625,241,240
157,cov_EmpiricalCovariance,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.45823007082709055,241,240
158,cov_EmpiricalCovariance,gpdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.2097745137824687,241,240
159,cov_EmpiricalCovariance,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.4192762994663338,241,240
160,cov_EmpiricalCovariance,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.45863613387089547,241,240
161,cov_EmpiricalCovariance,gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.21937745643474724,241,240
162,cov_EmpiricalCovariance,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.546293988017252,241,240
