feature_index,SPI-1,SPI-2,ks_statistic,n_VAR(1)-Symmetric,n_VAR(1)-Unidirectional
213,xcorr-sq_mean_sig-True,te_symbolic_k-10_kt-1_l-1_lt-1__ji,0.19139215344114452,96,96
214,xcorr_mean_sig-False,xcorr-sq_mean_sig-False,0.2633045392422585,96,96
215,xcorr_mean_sig-False,je_gaussian,0.06410258094898433,96,96
216,xcorr_mean_sig-False,je_kozachenko,0.2446912048784931,96,96
217,xcorr_mean_sig-False,je_kernel_W-0.5,0.11274547878081304,96,96
218,xcorr_mean_sig-False,ce_gaussian,0.06410258094898433,96,96
219,xcorr_mean_sig-False,ce_kozachenko,0.21369081362260117,96,96
220,xcorr_mean_sig-False,ce_kernel_W-0.5,0.12156879442201896,96,96
221,xcorr_mean_sig-False,cce_gaussian__ij,0.15037111634024272,96,96
222,xcorr_mean_sig-False,cce_gaussian__ji,0.09787603080506055,96,96
223,xcorr_mean_sig-False,cce_kozachenko__ij,0.18015721998217493,96,96
224,xcorr_mean_sig-False,cce_kozachenko__ji,0.10393477136154927,96,96
225,xcorr_mean_sig-False,cce_kernel_W-0.5__ij,0.17041403278395792,96,96
226,xcorr_mean_sig-False,cce_kernel_W-0.5__ji,0.07044470890671034,96,96
227,xcorr_mean_sig-False,di_gaussian__ij,0.12434258221632566,96,96
228,xcorr_mean_sig-False,di_gaussian__ji,0.05659602736520375,96,96
229,xcorr_mean_sig-False,di_kozachenko__ij,0.21197484102263908,96,96
230,xcorr_mean_sig-False,di_kozachenko__ji,0.11219447916942332,96,96
231,xcorr_mean_sig-False,di_kernel_W-0.5__ij,0.026661199477911568,96,96
232,xcorr_mean_sig-False,di_kernel_W-0.5__ji,0.029043017826612894,96,96
233,xcorr_mean_sig-False,mi_gaussian,0.0641025809489838,96,96
234,xcorr_mean_sig-False,mi_kraskov_NN-4,0.13801056122832056,96,96
235,xcorr_mean_sig-False,mi_kraskov_NN-4_DCE,0.17565754488081076,96,96
236,xcorr_mean_sig-False,mi_kernel_W-0.25,0.13950717718996442,96,96
237,xcorr_mean_sig-False,tlmi_gaussian__ij,0.052221584440349855,96,96
238,xcorr_mean_sig-False,tlmi_gaussian__ji,0.05229452442615856,96,96
239,xcorr_mean_sig-False,tlmi_kraskov_NN-4__ij,0.1390281100964622,96,96
240,xcorr_mean_sig-False,tlmi_kraskov_NN-4__ji,0.16266247309061466,96,96
241,xcorr_mean_sig-False,tlmi_kraskov_NN-4_DCE__ij,0.1847555176222485,96,96
242,xcorr_mean_sig-False,tlmi_kraskov_NN-4_DCE__ji,0.15232733761762396,96,96
243,xcorr_mean_sig-False,tlmi_kernel_W-0.25__ij,0.08852180967773171,96,96
244,xcorr_mean_sig-False,tlmi_kernel_W-0.25__ji,0.07772134707615486,96,96
245,xcorr_mean_sig-False,te_kraskov_NN-4_k-max-10_tau-max-4__ij,0.09943276626264907,96,96
246,xcorr_mean_sig-False,te_kraskov_NN-4_k-max-10_tau-max-4__ji,0.0786443068478308,96,96
247,xcorr_mean_sig-False,te_kraskov_NN-4_DCE_k-max-10_tau-max-4__ij,0.08383903506963919,96,96
248,xcorr_mean_sig-False,te_kraskov_NN-4_DCE_k-max-10_tau-max-4__ji,0.03622362750244937,96,96
249,xcorr_mean_sig-False,te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1__ij,0.08753162650643781,96,96
250,xcorr_mean_sig-False,te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1__ji,0.045580020791246845,96,96
251,xcorr_mean_sig-False,te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1__ij,0.021339134071848953,96,96
252,xcorr_mean_sig-False,te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1__ji,0.09820819923714666,96,96
253,xcorr_mean_sig-False,te_kraskov_NN-4_k-1_kt-1_l-1_lt-1__ij,0.033615436026133594,96,96
254,xcorr_mean_sig-False,te_kraskov_NN-4_k-1_kt-1_l-1_lt-1__ji,0.10519331866242049,96,96
255,xcorr_mean_sig-False,te_kernel_W-0.25_k-1__ij,0.2377963882236664,96,96
256,xcorr_mean_sig-False,te_kernel_W-0.25_k-1__ji,0.04355654756842753,96,96
257,xcorr_mean_sig-False,gc_gaussian_k-max-10_tau-max-2__ij,0.0611160971521546,96,96
258,xcorr_mean_sig-False,gc_gaussian_k-max-10_tau-max-2__ji,0.01852994696323884,96,96
259,xcorr_mean_sig-False,gc_gaussian_k-1_kt-1_l-1_lt-1__ij,0.02282296281139584,96,96
260,xcorr_mean_sig-False,gc_gaussian_k-1_kt-1_l-1_lt-1__ji,0.07441722714205906,96,96
261,xcorr_mean_sig-False,te_symbolic_k-1_kt-1_l-1_lt-1__ij,0.02282296281139584,96,96
262,xcorr_mean_sig-False,te_symbolic_k-1_kt-1_l-1_lt-1__ji,0.07441722714205906,96,96
263,xcorr_mean_sig-False,te_symbolic_k-10_kt-1_l-1_lt-1__ij,0.03831602198518996,96,96
264,xcorr_mean_sig-False,te_symbolic_k-10_kt-1_l-1_lt-1__ji,0.07575792421045713,96,96
265,xcorr-sq_mean_sig-False,je_gaussian,0.12264032171313835,96,96
266,xcorr-sq_mean_sig-False,je_kozachenko,0.525559038756487,96,96
267,xcorr-sq_mean_sig-False,je_kernel_W-0.5,0.1897885226457327,96,96
268,xcorr-sq_mean_sig-False,ce_gaussian,0.12264032171313835,96,96
269,xcorr-sq_mean_sig-False,ce_kozachenko,0.5236493384018062,96,96
270,xcorr-sq_mean_sig-False,ce_kernel_W-0.5,0.18719889195576195,96,96
271,xcorr-sq_mean_sig-False,cce_gaussian__ij,0.14035711927279856,96,96
272,xcorr-sq_mean_sig-False,cce_gaussian__ji,0.12603646830600024,96,96
