class,M,T,I,n_pcs_95
sti-i,20,500,4,16
sti-i,20,500,5,11
sti-i,20,500,6,11
sti-i,20,500,7,8
sti-i,20,500,8,14
sti-i,20,500,9,15
sti-i,20,1000,0,15
sti-i,20,1000,1,11
sti-i,20,1000,2,17
sti-i,20,1000,3,17
sti-i,20,1000,4,16
sti-i,20,1000,5,17
sti-i,20,1000,6,13
sti-i,20,1000,7,15
sti-i,20,1000,8,12
sti-i,20,1000,9,14
sti-i,20,2000,0,15
sti-i,20,2000,1,13
sti-i,20,2000,2,18
sti-i,20,2000,3,17
sti-i,20,2000,4,16
sti-i,20,2000,5,17
sti-i,20,2000,6,16
sti-i,20,2000,7,15
sti-i,20,2000,8,17
sti-i,20,2000,9,17
sti-ii,5,500,0,1
sti-ii,5,500,1,3
sti-ii,5,500,2,1
sti-ii,5,500,3,4
sti-ii,5,500,4,3
sti-ii,5,500,5,2
sti-ii,5,500,6,4
sti-ii,5,500,7,3
sti-ii,5,500,8,1
sti-ii,5,500,9,3
sti-ii,5,1000,0,4
sti-ii,5,1000,1,3
sti-ii,5,1000,2,3
sti-ii,5,1000,3,4
sti-ii,5,1000,4,3
sti-ii,5,1000,5,4
sti-ii,5,1000,6,4
sti-ii,5,1000,7,3
sti-ii,5,1000,8,2
sti-ii,5,1000,9,3
sti-ii,5,2000,0,4
sti-ii,5,2000,1,3
sti-ii,5,2000,2,4
sti-ii,5,2000,3,4
sti-ii,5,2000,4,1
sti-ii,5,2000,5,4
sti-ii,5,2000,6,3
sti-ii,5,2000,7,4
sti-ii,5,2000,8,3
sti-ii,5,2000,9,3
sti-ii,10,500,0,6
sti-ii,10,500,1,5
sti-ii,10,500,2,6
sti-ii,10,500,3,6
sti-ii,10,500,4,6
sti-ii,10,500,5,6
sti-ii,10,500,6,1
sti-ii,10,500,7,4
sti-ii,10,500,8,6
sti-ii,10,500,9,5
sti-ii,10,1000,0,5
sti-ii,10,1000,1,6
sti-ii,10,1000,2,6
sti-ii,10,1000,3,5
sti-ii,10,1000,4,5
sti-ii,10,1000,5,6
sti-ii,10,1000,6,6
sti-ii,10,1000,7,6
sti-ii,10,1000,8,6
sti-ii,10,1000,9,5
sti-ii,10,2000,0,5
sti-ii,10,2000,1,6
sti-ii,10,2000,2,6
sti-ii,10,2000,3,6
sti-ii,10,2000,4,4
sti-ii,10,2000,5,6
sti-ii,10,2000,6,6
sti-ii,10,2000,7,6
sti-ii,10,2000,8,6
sti-ii,10,2000,9,6
sti-ii,20,500,0,11
sti-ii,20,500,1,1
sti-ii,20,500,2,10
sti-ii,20,500,3,10
sti-ii,20,500,4,10
sti-ii,20,500,5,8
sti-ii,20,500,6,10
sti-ii,20,500,7,11
sti-ii,20,500,8,8
sti-ii,20,500,9,7
sti-ii,20,1000,0,11
