class,seed,f0,f1,f2,f3,f4,f5
K=2 sig=0.3 bidir (B),14,0.21621563605116095,0.3440690309420991,0.9848818990901194,1.4997015800180375,0.5060855186889797,0.006720566614877052
K=2 sig=0.3 bidir (B),15,0.4718175760220206,0.6678943108968761,0.9826527493669065,1.5010793980126926,0.5652181711449172,0.0019136638615493578
K=2 sig=0.3 bidir (B),16,0.4479435824990184,0.6561105739816304,0.9879257552518693,1.5006892351157315,0.5698472427747763,0.0019136638615493578
K=2 sig=0.3 bidir (B),17,0.3017353722876958,0.5505656291725999,0.9866015742699231,1.4942786139033806,0.5101424824595694,0.0035801372616842504
K=2 sig=0.3 bidir (B),18,0.472475261127303,0.7779575866479599,0.9853226730603731,1.5006517622274405,0.5946093004919643,0.0
K=2 sig=0.3 bidir (B),19,0.3638375044343515,0.5454530353303935,0.9866517902545759,1.4991182462577304,0.5074170597464702,0.003827327723098716
K=2 sig=0.5 bidir,0,0.2398611250344367,0.3735335435580291,0.9910341151877222,1.4997027389700517,0.4976949649204987,0.007899901725061205
K=2 sig=0.5 bidir,1,0.7412886021714405,0.9981566801494038,0.9894496785212598,1.4982328423375335,0.6602882186716595,0.0
K=2 sig=0.5 bidir,2,0.4241973464269241,0.5292162212432813,0.9883406738365681,1.5017897621721317,0.4733009641284319,0.004078244730043183
K=2 sig=0.5 bidir,3,0.3357144757945681,0.5423081875682766,0.989072064455965,1.5002943764628907,0.5796551101501525,0.00390625
K=2 sig=0.5 bidir,4,0.1562663392493954,0.26408329497067207,0.9822329789092825,1.50222654977513,0.510247741074366,0.012358821890278418
K=2 sig=0.5 bidir,5,0.2699375954900169,0.46078286925902245,0.9907989641984181,1.499681562172246,0.4685656139026325,0.007213353637741949
K=2 sig=0.5 bidir,6,0.22110231202827899,0.34808647792123537,0.9813856249281745,1.501009846170371,0.49324212316113386,0.010065702130254003
K=2 sig=0.5 bidir,7,0.2727215565251556,0.47705784840106275,0.9910958667389093,1.5014506738173046,0.4836928552578591,0.00869963181692191
K=2 sig=0.5 bidir,8,0.20562103572757856,0.37428155829329257,0.9823809610388439,1.4995796489613176,0.4271600146501611,0.005538065187014776
K=2 sig=0.5 bidir,9,0.1849696180834261,0.3124606949638259,0.9780378956595929,1.4958794511602864,0.5053140045788391,0.01074041178505275
K=2 sig=0.5 bidir,10,0.40755521301932945,0.6344841264865947,0.9928907386597563,1.5025236046477555,0.5215398942387413,0.004078244730043183
K=2 sig=0.5 bidir,11,0.5325652362242306,0.7872883524427264,0.9830055487980879,1.5015709033008995,0.592603522418106,0.0031249999999999997
K=2 sig=0.5 bidir,12,0.2323328538436666,0.33377236315176384,0.9830299017057651,1.4920328881519158,0.5585798073644818,0.009568319307746789
K=2 sig=0.5 bidir,13,0.22290535571924422,0.3381373345696641,0.9858989773180872,1.5094348279937349,0.4962801168303626,0.008043461047646094
K=2 sig=0.5 bidir,14,0.2433696542948333,0.3522000812934616,0.9800453419766118,1.504153453236182,0.5584458567882966,0.015073266704355263
